case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_city,employer_country,employer_name,employer_state,foreign_worker_info_birth_country,job_info_education,pw_determ_date,pw_expire_date,pw_job_title_9089,Processing Day
29-03-2011,Denied,H-1B,INDIA,24-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1487
05-04-2011,Denied,H-1B,INDIA,17-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1442
08-04-2011,Denied,H-1B,INDIA,14-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1467
18-08-2011,Denied,L-1,INDIA,20-10-2014,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Bachelor's,09-07-2010,01-07-2011,Computer Systems Analysts,1159
13-10-2011,Denied,E-2,GERMANY,08-12-2014,FARMINGTON HILLS,UNITED STATES OF AMERICA,ROBERT BOSCH LLC,MICHIGAN,GERMANY,Bachelor's,24-03-2011,30-06-2011,"Treasurers, Controllers, and Chief Fnancial Officers",1152
22-09-2011,Denied,H-1B,CHINA,21-10-2014,SANTA CLARA,UNITED STATES OF AMERICA,AMLOGIC INC.,CALIFORNIA,CHINA,Master's,04-01-2011,30-06-2011,"Electronics Engineers, Except Computer",1125
06-06-2011,Denied,H-1B,INDIA,21-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1415
06-06-2011,Denied,H-1B,INDIA,21-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1415
15-07-2011,Certified-Expired,H-1B,INDIA,06-10-2014,SAN JOSE,UNITED STATES OF AMERICA,"CISCO SYSTEMS, INC.",CALIFORNIA,INDIA,Master's,22-06-2011,20-09-2011,"Computer Software Engineers, Systems Software",1179
24-03-2011,Denied,H-1B,INDIA,23-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1491
14-03-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1491
03-06-2011,Denied,H-1B,INDIA,18-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1384
28-01-2015,Certified,H-1B,INDIA,31-07-2015,NEW YORK,UNITED STATES OF AMERICA,ACTIMIZE INC,NEW YORK,INDIA,Bachelor's,24-07-2014,30-06-2015,"Software Developers, Applications",184
14-06-2012,Denied,H-1B,INDIA,15-10-2014,ALBUQUERQUE,UNITED STATES OF AMERICA,SPERIDIAN TECHNOLOGIES A.K.A KARMA CONSULTING SVC,NEW MEXICO,INDIA,Master's,16-09-2011,30-06-2012,Computer and Information Systems Managers,853
22-08-2011,Denied,H-1B,INDIA,21-10-2014,COLLEGE STATION,UNITED STATES OF AMERICA,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,TEXAS,INDIA,Master's,09-07-2010,02-07-2011,Computer Systems Analyst,1156
02-06-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1411
06-06-2011,Denied,H-1B,MEXICO,05-03-2015,HOUSTON,UNITED STATES OF AMERICA,CYPRESS FAIRBANKS ISD,TEXAS,MEXICO,Bachelor's,17-03-2011,30-06-2011,Elementary School Teacher,1368
02-06-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1411
